lon,lat,title
34.7722644,31.9648911,"ONLINE My Fit Club של מיטל גבאי
https://freefit.co.il/CLUBS/?CLUB=29341"
34.8267416,32.0527287,"XtriM-אימוני שחיה וריצה רמת גן
https://freefit.co.il/CLUBS/?CLUB=27823"
34.8153885,32.0958836,"חיים באושר ובכושר
https://freefit.co.il/CLUBS/?CLUB=29028"
37.3264134,31.3866964,"ONLINE StretchMe
https://freefit.co.il/CLUBS/?CLUB=29493"
34.7793821,32.0640642,"טיומקין 16 פילאטיס מכשירים
https://freefit.co.il/CLUBS/?CLUB=29092"
34.7920649,32.077385,"Dance Community Club
https://freefit.co.il/CLUBS/?CLUB=29365"
34.8142239,31.2640641,"Icon Fitness באר שבע
https://freefit.co.il/CLUBS/?CLUB=25690"
34.8117167,32.0948331,"פארקור ישראל- רמת גן
https://freefit.co.il/CLUBS/?CLUB=29572"
34.9662035,32.103351,"סנדרה יוגה
https://freefit.co.il/CLUBS/?CLUB=29646"
34.7620497,32.0611655,"Yoga & pilates with Liz
https://freefit.co.il/CLUBS/?CLUB=29653"
34.785896,32.0864702,"מאי אברמוביץ פילאטיס מכשירים
https://freefit.co.il/CLUBS/?CLUB=29652"
35.1337201,32.7229664,"GO Strong
https://freefit.co.il/CLUBS/?CLUB=29312"
35.0471124,32.4642379,"פיטנס מינץ- חריש
https://freefit.co.il/CLUBS/?CLUB=25716"
34.8120751,31.2469568,"iJump באר שבע
https://freefit.co.il/CLUBS/?CLUB=25743"
34.8192821,32.0479671,"אננדה יוגה ואקרו יוגה
https://freefit.co.il/CLUBS/?CLUB=29287"
34.8247662,32.170811,"R.D.F Ran Dorsman Family
https://freefit.co.il/CLUBS/?CLUB=29558"
34.8727544,32.0801124,"אור בתנועה - סטודיו עם תוצאות
https://freefit.co.il/CLUBS/?CLUB=29452"
34.7965912,31.2315197,"Spirit Sport Club MMA
https://freefit.co.il/CLUBS/?CLUB=29399"
34.7969962,32.1636347,"I Climb בולדר , הרצליה
https://freefit.co.il/CLUBS/?CLUB=29191"
34.814086,32.1007762,"MyWay - אימוני ריצה
https://freefit.co.il/CLUBS/?CLUB=24628"
35.2338814,31.7505281,"מועדון הבדמינטון הפועל ירושלים
https://freefit.co.il/CLUBS/?CLUB=23574"
34.890497,32.0740183,"מ""ס המושבה בריכות שחייה
https://freefit.co.il/CLUBS/?CLUB=319"
34.8013007,31.2441917,"studio C באר שבע
https://freefit.co.il/CLUBS/?CLUB=14432"
34.9883201,32.7853721,"אורבן פלייס - סטודיו בוטיק לאימונים
https://freefit.co.il/CLUBS/?CLUB=29239"
35.5339914,32.7904786,"Icon Fitness טבריה
https://freefit.co.il/CLUBS/?CLUB=29058"
34.9320456,32.2657687,"בריכת עין ורד
https://freefit.co.il/CLUBS/?CLUB=23511"
34.8254049,32.1644985,"מרכז הסקווש הרצליה - ערב
https://freefit.co.il/CLUBS/?CLUB=25771"
34.7682001,31.991394,"Fitness room
https://freefit.co.il/CLUBS/?CLUB=25740"
34.9227609,32.0804067,"Tootiz
https://freefit.co.il/CLUBS/?CLUB=29061"
34.8372108,32.2629674,"מכון וינגייט מרכז הכושר והספורט
https://freefit.co.il/CLUBS/?CLUB=147"
34.8210646,32.0673466,"Ok fitness TRX Studio
https://freefit.co.il/CLUBS/?CLUB=24627"
37.3264134,31.3866964,"ONLINE Ok fitness TRX Studio
https://freefit.co.il/CLUBS/?CLUB=29477"
34.8425154,32.1135623,"friends
https://freefit.co.il/CLUBS/?CLUB=27849"
34.9491031,31.9990801,"Workout studio roie atal
https://freefit.co.il/CLUBS/?CLUB=29636"
34.8079971,32.0781055,"Studio24
https://freefit.co.il/CLUBS/?CLUB=29591"
34.8617927,32.2763972,"קיר טיפוס monkey-gym נתניה
https://freefit.co.il/CLUBS/?CLUB=23567"
35.1705538,31.7605446,"פיליפ לאון מרכז כושר וספורט
https://freefit.co.il/CLUBS/?CLUB=188"
34.8055416,32.0951763,"XtriM אימוני שחיה וריצה פ.הירקון
https://freefit.co.il/CLUBS/?CLUB=27829"
34.7695729,32.0665923,"Or Chapel
https://freefit.co.il/CLUBS/?CLUB=27865"
34.7649933,32.0682545,"go surf גו סרף - השכרת גלשן
https://freefit.co.il/CLUBS/?CLUB=29020"
34.8071098,32.1007303,"MA parkout פארק הירקון
https://freefit.co.il/CLUBS/?CLUB=28994"
35.5524028,32.4937166,"שירן פינקלשטיין- מעוז חיים
https://freefit.co.il/CLUBS/?CLUB=29011"
34.9842427,32.780058,"Pure Pilates ורדיה
https://freefit.co.il/CLUBS/?CLUB=29041"
34.7954442,32.0754108,"StretchMe
https://freefit.co.il/CLUBS/?CLUB=29121"
34.7823779,32.0921465,"לוטוס בית ליוגה ופילאטיס
https://freefit.co.il/CLUBS/?CLUB=29305"
34.7415797,31.8762481,"בריכת יבנה
https://freefit.co.il/CLUBS/?CLUB=3377"
34.9060939,32.4417487,"קאנטרי ספורטלנד חדרה
https://freefit.co.il/CLUBS/?CLUB=327"
37.3262501,31.3913948,"ONLINE פוקוס פיטנס
https://freefit.co.il/CLUBS/?CLUB=29510"
34.7738616,32.0910994,"נעם מורה לפילאטיס ONLINE
https://freefit.co.il/CLUBS/?CLUB=29437"
35.7858951,32.8331076,"סטודיו דינה בן ארי
https://freefit.co.il/CLUBS/?CLUB=27892"
34.771463,32.0882985,"סטודיו רעות,תל אביב
https://freefit.co.il/CLUBS/?CLUB=25793"
34.7616815,32.036491,"רשת הקאנטרי חולון
https://freefit.co.il/CLUBS/?CLUB=23544"
35.4775693,32.4809268,"שירן פינקלשטיין,קיבוץ רשפים
https://freefit.co.il/CLUBS/?CLUB=29010"
